id_client,vârstă,înălțime_cm,greutate_kg,venit,gen,oraș,segment,data_inscriere
70,25.0,168.9,90.2,2655.0,F,Cluj,A,2024-10-25
71,26.0,162.2,62.9,1857.0,M,Timișoara,B,2020-12-30
72,67.0,174.3,57.6,2914.0,M,cluj,C,2023-09-23
73,66.0,162.7,67.0,3144.0,F,Timișoara,B,2018-06-16
74,71.0,172.2,70.4,4637.0,M,Timișoara,B,2023-08-19
75,59.0,165.0,65.1,3238.0,F,Cluj,B,2021-05-21
76,26.0,155.4,45.0,2263.0,M,Cluj,A,2017-09-03
77,25.0,155.5,57.1,3672 EUR,F,Timișoara,B,2018-05-01
78,35.0,178.7,87.6,3065 EUR,M,bUCUREȘTI,B,2018-05-10
79,18.0,158.5,65.2,1.868,F,Timișoara,C,2019-09-08
80,36.0,157.8,72.0,3698.0,F,București,A,2021-10-12
81,68.0,155.8,72.9,2995.0,F,București,C,2018-10-30
82,,162.8,67.3,2852.0,F,Cluj,A,2019-11-25
83,32.0,183.9,77.0,2368.0,M,București,B,2025-03-05
84,43.0,157.2,61.7,2942.0,M,Cluj,C,2022-10-28
85,70.0,159.0,78.3,3597.0,M,București,A,2016-10-04
86,49.0,153.7,56.1,2925.0,F,Timișoara,C,2017-01-23
87,74.0,162.1,84.1,4554.0,F,Timișoara,C,2025-06-23
88,23.0,164.6,45.0,4361.0,M,Timișoara,A,2024-10-23
89,60.0,166.1,66.6,3722.0,F,Timișoara,B,2015-04-14
90,69.0,157.3,57.3,2762.0,F,Cluj,C,2021-11-04
91,51.0,183.4,79.3,4871.0,M,Cluj,A,2016-07-07
92,18.0,154.4,55.1,3293.0,M,Timișoara,A,2025-03-12
93,74.0,169.2,54.4,3957 EUR,F,Timișoara,C,2024-01-11
94,35.0,167.1,50.0,3799.0,M,Cluj,B,2021-04-11
95,34.0,176.7,91.1,2756.0,M,București,B,2018-10-10
96,30.0,171.0,93.6,-3947,M,București,B,2024-06-05
97,38.0,178.5,91.8,2856.0,F,Cluj,A,2016-05-02
98,42.0,165.4,56.9,3914.0,M,Cluj,A,2021-08-07
99,27.0,159.3,59.5,2214.0,F,CLUJ,C,2023-02-21
100,19.0,169.4,58.0,1918.0,M,București,C,2022-01-06
101,31.0,165.8,45.1,2248.0,F,Cluj,B,2024-08-27
102,-7.0,176.1,68.8,4036.0,M,Timișoara,B,2017-02-23
103,57.0,168.5,70.9,3070.0,M,Cluj,A,2024-11-06
104,50.0,146.3,50.0,3150.0,F,Cluj,B,2015-11-14
105,62.0,178.1,74.4,4369.0,m,Cluj,A,2015-01-17
106,44.0,181.2,96.1,-3346,F,București,B,2021-03-21
107,45.0,176.1,78.9,3013.0,F,București,B,2021-05-04
108,60.0,167.1,87.3,3360.0,M,Timișoara,C,2018-02-09
109,71.0,186.8,90.9,2363.0,F,Timișoara,B,2018-10-04
110,67.0,169.1,59.8,4334.0,F,București,A,2021-03-25
111,-7.0,173.4,68.5,2989.0,F,Cluj,B,2020-09-23
112,55.0,184.5,85.5,3292.0,F,Timișoara,B,2016-11-15
113,50.0,159.4,62.2,4219.0,M,Timișoara,A,2016-06-27
114,64.0,160.4,71.6,2747.0,F,Timișoara,A,2017-07-31
115,32.0,166.0,81.1,3342.0,F,Timișoara,B,2017-07-23
116,51.0,171.1,59.9,2407.0,M,București,B,2015-01-10
117,39.0,153.9,46.3,3783.0,F, timișoara,C,2017-04-13
118,24.0,178.8,79.6,2529.0,M,București,A,2018-09-15
119,19.0,179.1,70.9,-3612,F,Cluj,A,2019-05-02
120,65.0,148.2,51.8,2872.0,f,Cluj,C,2020-05-17
121,70.0,173.1,67.3,4792.0,FEM,Cluj,A,2018-05-06
122,63.0,134.0,60.6,3714.0,F,Cluj,C,2020-07-11
123,66.0,172.6,72.1,3935.0,M,Cluj,A,2021-05-20
124,46.0,176.2,53.9,3456.0,M,Cluj,C,2019-06-12
125,59.0,160.7,45.0,2945.0,F,Cluj,C,2019-08-26
126,24.0,167.0,52.6,2696.0,F,Timișoara,B,2019-09-22
127,63.0,166.4,45.3,2792.0,F,Timișoara,B,2023-04-18
128,66.0,171.2,70.9,3319.0,F,Timișoara,A,2017-08-09
129,26.0,166.7,72.9,3170.0,F,Timișoara,B,2016-09-05
130,27.0,169.1,64.7,2608.0,M,Timișoara,B,2024-04-10
131,24.0,161.4,75.0,3922 EUR,F,Timișoara,A,2023-05-07
132,27.0,174.0,75.3,2677.0,M,București,B,2019-03-10
133,60.0,174.2,76.9,4124.0,Fem,București,B,2020-02-27
134,25.0,178.4,89.4,2346.0,M,București,A,2015-10-03
135,72.0,175.2,87.5,-3223,F,Cluj,B,2022-04-18
136,64.0,164.6,50.1,3480.0,F,București,B,2016-10-21
137,33.0,181.2,75.1,,F,București,C,2023-08-14
138,31.0,166.2,74.2,3636 EUR,M,,A,2022-03-10
139,38.0,161.7,59.9,4011.0,M,București,B,2021-09-19
140,54.0,171.4,71.4,2323.0,F,Cluj,C,2019-09-25
141,67.0,161.3,54.0,3594.0,F,CLUJ,A,2016-02-11
142,47.0,167.2,71.2,2369.0,M,Cluj,A,2016-10-25
143,63.0,167.6,89.5,4190.0,F,Bucuresti,B,2022-06-17
144,30.0,181.7,65.7,3785.0,m,București,B,2017-11-07
145,38.0,165.3,68.0,2505.0,M,București,B,2016-06-04
146,23.0,173.8,61.8,3722.0,M,Timișoara,B,2022-01-28
147,41.0,177.5,94.8,3129.0,F,Cluj,A,2017-10-15
148,,166.9,52.1,3243.0,M,Cluj,C,2021-11-26
149,66.0,156.9,53.7,3050.0,F,Cluj,C,2018-04-28
150,49.0,179.0,71.2,2618.0,M,Cluj,C,2022-08-23
151,28.0,178.1,88.1,,F,Timișoara,B,2020-05-02
152,59.0,161.3,71.5,3451.0,M,Cluj,C,2020-10-17
153,58.0,178.9,83.8,4103.0,F, timișoara,A,2015-05-29
154,18.0,167.1,60.8,2372.0,M,Cluj,B,2021-05-07
155,41.0,157.0,61.6,3122.0,F,Timișoara,B,2020-05-13
156,30.0,151.8,64.3,1676.0,F,București,C,2022-01-28
157,66.0,162.9,66.4,3.003,M,București,A,2017-12-18
158,135.0,165.8,67.0,2707.0,M,București,C,2016-02-02
159,61.0,158.8,54.0,,M,București,A,2024-12-20
160,22.0,165.9,64.8,2628.0,M,Cluj,A,2017-11-10
161,60.0,174.0,68.5,4093.0,F,București,B,2024-09-28
162,22.0,181.7,82.6,2580.0,M,Timișoara,B,2023-02-28
163,59.0,165.9,54.7,2347.0,F,Cluj,B,2024-03-29
164,71.0,163.1,57.4,3385.0,M,Cluj,C,2019-07-27
165,50.0,177.3,84.7,2997 EUR,M,București,C,2023-12-29
166,62.0,166.9,57.6,4179.0,M,Cluj,B,2017-10-23
167,64.0,162.9,68.7,4056.0,M,TIMIȘoara,B,2017-08-21
168,37.0,174.8,67.1,2399.0,F,Timișoara,C,2025-07-05
169,55.0,174.5,75.7,3117.0,M,București,A,2017-05-01
170,55.0,163.8,72.5,3354.0,M,Timișoara,B,2021-08-17
171,52.0,165.3,69.2,3833.0,M,Cluj,B,2015-05-29
172,23.0,178.8,63.9,2185.0,F,București,B,2021-05-29
173,31.0,177.1,72.7,2181.0,M,Cluj,B,2018-05-02
174,33.0,171.6,69.1,2920.0,FEM,București,A,2025-06-08
175,69.0,172.7,67.0,3795.0,F,cluj,B,2016-10-22
176,66.0,150.0,62.0,2293.0,M,Cluj,C,2020-08-05
177,68.0,143.7,45.0,3403.0,F,Cluj,A,2024-06-01
178,38.0,164.5,78.3,4006.0,F,Cluj,A,2023-09-15
179,68.0,166.9,76.6,3.141,F,Cluj,C,2018-12-05
180,73.0,179.8,64.8,2916.0,M,București,C,2019-09-26
181,59.0,171.6,71.0,2317.0,M,București,A,2018-08-19
182,25.0,182.9,94.8,2561.0,M,Timișoara,B,2018-03-15
183,45.0,172.4,80.0,2591.0,F,București,B,2015-12-23
184,50.0,163.3,52.9,3125.0,M,Cluj,B,2019-02-23
185,33.0,159.8,45.1,3561.0,M,București,A,2023-02-18
186,22.0,180.0,69.9,1817.0,F,Cluj,B,2019-08-07
187,74.0,169.9,71.1,2810.0,F,București,C,2016-04-05
188,74.0,177.3,83.7,3829.0,F,Timișoara,A,2024-01-17
189,38.0,174.9,75.0,2181.0,F,Timișoara,B,2023-09-20
190,45.0,161.7,58.0,3950.0,FEM,Cluj,C,2020-05-14
191,-1.0,166.9,66.1,2467.0,F,București,A,2025-06-04
192,56.0,172.0,57.1,3084.0,masculin,Cluj,A,2020-06-30
193,73.0,157.1,66.1,3942 EUR,M,TIMIȘoara,B,2017-11-25
194,,155.8,65.3,3337.0,F,Timișoara,B,2024-12-27
195,20.0,168.7,73.5,3394.0,F,Cluj,C,2020-10-10
196,56.0,158.3,46.3,4035.0,F,Cluj,A,2015-07-10
197,21.0,167.1,76.3,1200.0,Fem,Bucuresti,A,2017-10-20
198,48.0,167.1,64.0,3182.0,F,București,A,2023-07-13
199,20.0,165.2,60.5,2914.0,F,București,B,2020-01-27
200,28.0,177.5,78.8,2261 EUR,F,Cluj,C,2022-03-01
201,,194.5,82.2,2758.0,M,Timișoara,C,2017-03-15
202,48.0,176.7,74.9,4025.0,M,București,C,2025-08-12
203,60.0,166.3,62.3,2921.0,M,București,A,2023-01-19
204,60.0,169.5,62.3,4490.0,F,Timișoara,A,2021-08-06
205,18.0,175.9,81.8,2487.0,M,,A,2019-11-23
206,45.0,160.3,59.0,,M,Cluj,B,2020-01-03
207,136.0,166.4,57.3,3584.0,M,București,A,2017-07-25
208,32.0,162.9,55.6,3061.0,F,Cluj,C,2015-03-18
209,70.0,166.0,60.7,3309.0,M,,B,2016-08-18
210,63.0,178.9,82.0,3181.0,F,București,A,2015-05-02
211,66.0,161.4,58.4,4632.0,F,București,A,2022-07-13
212,67.0,171.7,76.2,3885.0,M, timișoara,A,2023-01-18
213,58.0,171.2,68.4,3204.0,M,Cluj,C,2020-08-26
214,67.0,166.7,68.8,3438.0,M,Timișoara,B,2019-10-29
215,71.0,161.9,61.7,4637.0,F,,B,2020-07-30
216,43.0,162.0,53.9,3682.0,F,,A,2015-08-21
217,67.0,156.0,64.8,3217.0,F,Cluj,B,2023-06-29
218,49.0,153.2,51.0,,F,Cluj,B,2023-01-17
219,50.0,173.2,67.0,3388 EUR,M,București,B,2020-09-24
220,71.0,175.1,85.1,3496.0,M,Bucuresti,A,2015-05-04
221,65.0,172.0,73.7,-4705,M,Cluj,B,2024-04-17
222,41.0,175.7,60.5,2840.0,M,CLUJ,B,2019-08-20
223,30.0,176.5,88.4,2691.0,M,Timișoara,A,2021-04-03
224,51.0,153.6,48.2,2952.0,M,Cluj,A,2016-11-29
225,66.0,179.7,86.5,,F,Cluj,B,2018-08-31
226,51.0,168.6,80.0,4116.0,F,CLUJ,A,2019-11-27
227,18.0,177.3,71.8,2897.0,M,Timișoara,B,2022-09-16
228,63.0,175.5,74.2,4087.0,F,Timișoara,A,2022-01-16
229,42.0,155.4,63.1,3850.0,F,București,B,2019-10-22
230,71.0,173.2,82.7,3177.0,F,Timișoara,C,2020-04-25
231,42.0,162.1,61.4,2981.0,M,Timișoara,B,2023-06-14
232,27.0,169.9,80.8,3860.0,F,Cluj,B,2022-02-12
233,48.0,173.9,71.3,3742.0,M,Cluj,A,2019-07-28
234,69.0,176.8,79.0,3568.0,F, timișoara,B,2024-05-01
235,37.0,158.4,54.9,3536.0,F,Cluj,A,2018-04-24
236,38.0,168.4,66.6,2658.0,F,București,B,2016-04-13
237,67.0,161.9,53.8,3.437,F,Timișoara,B,2020-02-24
238,31.0,182.9,63.4,2450.0,F,București,A,2015-07-21
239,18.0,182.9,90.4,1312.0,F,CLUJ,B,2022-11-04
240,29.0,156.5,54.3,3057.0,M,București,C,2020-07-30
241,35.0,180.6,86.9,2762.0,F,Cluj,B,2019-11-21
242,35.0,163.6,51.1,3647.0,M,Cluj,A,2024-03-18
243,26.0,173.7,70.0,3313.0,M,Timișoara,C,2016-02-14
244,,190.8,79.1,1970.0,F,Timișoara,A,2025-01-05
245,21.0,151.7,45.0,2697.0,F,Cluj,A,2017-07-30
246,52.0,169.2,60.8,3992.0,M,cluj,C,2020-06-22
247,22.0,187.7,93.7,3204.0,m,București,B,2021-03-31
248,61.0,152.5,53.6,3294.0,F,București,A,2015-06-18
249,55.0,174.0,71.6,2760.0,F,Cluj,B,2015-12-03
250,18.0,149.8,51.7,2424.0,F,Timișoara,B,2018-07-17
251,42.0,190.3,105.5,3045.0,F,Cluj,B,2022-12-04
252,70.0,164.4,50.5,4884.0,F,cluj,A,2024-12-28
253,64.0,176.1,52.7,3557.0,Fem,Cluj,B,2019-03-10
254,18.0,153.5,45.0,1938.0,F,Cluj,C,2020-01-10
255,54.0,172.3,72.8,3297.0,F,Timișoara,B,2021-08-20
256,-9.0,161.2,59.1,,M,București,A,2022-08-25
257,42.0,178.9,79.4,3095.0,M,Cluj,B,2020-12-17
258,32.0,165.2,49.3,3231.0,F,Timișoara,B,2018-09-15
259,74.0,162.3,65.4,4690.0,M,Timișoara,B,2019-11-20
260,36.0,170.7,68.9,2426.0,M,cluj,C,2021-11-08
261,32.0,166.6,79.9,2924.0,F,București,B,2023-02-18
262,42.0,167.8,69.6,3909.0,F,București,A,2022-10-22
263,69.0,182.8,96.2,4438.0,M,Timișoara,A,2016-04-26
264,62.0,172.3,60.7,3073.0,F,București,A,2025-03-18
265,37.0,162.8,56.1,3365.0,F,Cluj,B,2016-05-28
266,24.0,163.6,70.7,1870.0,M,București,C,2015-10-06
267,,167.9,69.7,2613.0,FEM,Timișoara,A,2018-02-04
268,65.0,175.7,70.7,3329.0,F,Timișoara,C,2025-07-31
269,51.0,186.1,91.8,3307.0,F,bUCUREȘTI,C,2024-08-24
270,49.0,178.0,84.6,4218.0,F,cluj,C,2020-04-17
271,31.0,171.3,57.3,3708.0,F,București,B,2015-05-19
272,25.0,155.4,64.9,3348.0,M,Cluj,B,2022-02-12
273,73.0,151.5,47.1,4576.0,M,Cluj,A,2019-04-24
274,68.0,167.9,87.2,3326.0,M,Cluj,C,2024-07-11
275,35.0,166.5,67.2,2979.0,M,Cluj ,A,2022-12-16
276,43.0,159.1,61.5,3293.0,M,Cluj,A,2021-11-07
277,21.0,166.2,50.7,2613.0,M,Timișoara,B,2016-07-10
278,42.0,177.4,77.6,3925.0,M,Cluj,B,2021-08-19
279,73.0,168.4,72.5,3555.0,M,Cluj,C,2018-03-11
280,52.0,165.1,70.0,3207.0,Fem,Cluj,A,2024-11-08
281,74.0,182.1,77.7,4302.0,F,Cluj,B,2019-10-28
282,43.0,162.2,58.7,3055.0,F,Cluj ,B,2016-03-26
283,52.0,164.7,61.1,3842.0,F,Cluj,B,2024-02-11
284,,175.9,74.4,3014.0,,București,C,2015-12-05
285,37.0,175.0,70.4,2454.0,M,Timișoara,B,2020-08-12
286,42.0,159.8,45.0,,F,Timișoara,B,2018-09-30
287,63.0,172.1,65.0,4388.0,M,Cluj,B,2022-02-03
288,26.0,161.8,59.9,2909.0,F,București,A,2022-01-12
289,68.0,173.0,70.1,2305.0,F,Timișoara,B,2025-01-27
290,,168.9,65.7,2865.0,F,București,A,2023-05-10
291,69.0,165.1,72.4,4647.0,F,Timișoara,A,2025-01-04
292,31.0,178.1,70.6,3156.0,F,București,B,2018-09-15
293,19.0,172.4,75.3,3395.0,F,Timișoara,A,2018-01-30
294,43.0,180.3,93.4,3598.0,M,București,C,2017-02-18
295,19.0,184.6,87.9,3406.0,F,Timișoara,A,2017-10-10
296,67.0,173.2,82.1,3078.0,F,Cluj,B,2017-05-31
297,25.0,178.1,75.8,2439.0,F,Timișoara,B,2015-12-21
298,71.0,159.1,68.2,4.449,F,Cluj,A,2016-12-04
299,32.0,166.7,58.4,3152.0,F,București,B,2017-12-07
300,52.0,180.2,83.6,,M,bUCUREȘTI,A,2017-06-04
